scenario,gw,run,seed,N,K,M,base_E,base_P,base_feas,ga_E,ga_P,ga_feas,ga_fitness_mealpy,pso_E,pso_P,pso_feas,pso_fitness_mealpy
S1,GW1,0,42,8,1,20,0.0049602859999999995,1425128.4506128195,False,0.0049600404999999995,0.0,True,0.0049600396,0.0049600524,0.0,True,0.0049600396
S1,GW1,1,43,8,1,20,0.0049604948,1308012.7840328724,False,0.0049600645,113941.02980498543,False,0.0049600396,0.0049602171999999995,1023279.6920497678,False,0.004960085099999999
S1,GW1,2,44,8,1,20,0.0049606771,3315028.6520316927,False,0.0049603029,1334467.112857602,False,0.0049600532999999995,0.004960538699999999,1720526.0830526168,False,0.004960045299999999
S1,GW1,3,45,8,1,20,0.0049603554,1908012.7840328724,False,0.0049600396,0.0,True,0.0049600396,0.004960057899999999,100000.00000000009,False,0.0049600396
S1,GW1,4,46,8,1,20,0.0049601851,611187.4208078342,False,0.004960061199999999,0.0,True,0.004960061199999999,0.0049600532999999995,0.0,True,0.0049600443999999995
S2a,GW1,0,42,12,2,20,0.0074401768,213941.02980498553,False,0.0074402802,0.0,True,0.0074400907,0.0074401659,0.0,True,0.0074400811
S2a,GW1,1,43,12,2,20,0.007440201499999999,0.0,True,0.007440247,513941.02980498533,False,0.007440093700000001,0.0074401637,100000.00000000009,False,0.007440081100000001
S2a,GW1,2,44,12,2,20,0.0074401512999999996,0.0,True,0.0074402559,525128.4506128195,False,0.0074400928,0.007440118799999999,0.0,True,0.0074400987
S2a,GW1,3,45,12,2,20,0.0074402475,213941.02980498553,False,0.0074402552999999995,413941.0298049854,False,0.007440099599999999,0.0074402936,1220526.0830526168,False,0.0074400952999999995
S2a,GW1,4,46,12,2,20,0.0074402259999999994,525128.4506128198,False,0.0074400978,0.0,True,0.007440084999999999,0.0074400913999999995,0.0,True,0.007440090699999999
S2b,GW2,0,42,12,2,20,0.007440263800000001,100000.00000000009,False,0.007440187799999999,0.0,True,0.007440175,0.0074402007999999995,100000.00000000009,False,0.0074401743
S2b,GW2,1,43,12,2,20,0.007440433099999999,0.0,True,0.0074402506,0.0,True,0.0074401718,0.0074403169000000005,1025128.4506128195,False,0.0074401743000000005
S2b,GW2,2,44,12,2,20,0.007440248700000001,113941.02980498543,False,0.0074402097,0.0,True,0.0074401567000000005,0.0074402767,1023279.6920497678,False,0.0074401592
S2b,GW2,3,45,12,2,20,0.0074403967,900000.0000000003,False,0.0074404493000000006,0.0,True,0.0074402107999999995,0.007440396099999999,513941.02980498556,False,0.0074401829999999995
S2b,GW2,4,46,12,2,20,0.007440413799999999,825128.4506128198,False,0.0074406129,1834467.1128576025,False,0.0074402175000000004,0.0074402702,213941.02980498553,False,0.007440151899999999
S3,GW1,0,42,20,3,24,0.012400292399999999,213941.02980498553,False,0.012400209100000004,0.0,True,0.012400192,0.0124002036,0.0,True,0.012400192
S3,GW1,1,43,20,3,24,0.0124004398,1523279.692049768,False,0.0124002703,327882.05960997095,False,0.012400191300000002,0.0124002378,0.0,True,0.012400198099999999
S3,GW1,2,44,20,3,24,0.012400536900000002,1834467.1128576025,False,0.0124002073,0.0,True,0.012400192899999999,0.012400286200000001,0.0,True,0.012400191999999997
S3,GW1,3,45,20,3,24,0.0124002752,0.0,True,0.012400269200000001,0.0,True,0.0124001922,0.0124003272,0.0,True,0.0124001913
S3,GW1,4,46,20,3,24,0.0124004387,0.0,True,0.012400199399999999,0.0,True,0.012400199399999996,0.012400295899999999,0.0,True,0.012400206100000002
S4,GW1,0,42,30,4,50,0.0186005499,0.0,True,0.0186002573,0.0,True,0.0186002349,0.018600327700000002,50000.00000000015,False,0.0186002494
S4,GW1,1,43,30,4,50,0.0186006886,21110.255092797957,False,0.0186002359,0.0,True,0.018600221500000003,0.0186004496,0.0,True,0.018600282800000003
S4,GW1,2,44,30,4,50,0.018600374800000003,0.0,True,0.018600280700000003,0.0,True,0.018600219,0.0186004914,1379528.825144573,False,0.0186002978
S4,GW1,3,45,30,4,50,0.0186005757,0.0,True,0.0186002626,0.0,True,0.018600212100000003,0.018600423499999998,0.0,True,0.018600258600000003
S4,GW1,4,46,30,4,50,0.018600382,0.0,True,0.0186002857,50000.000000000044,False,0.0186002288,0.0186004558,50000.000000000044,False,0.0186002703
